Conta,2021,2022,2023,2024
Receita Bruta,5000000,5800000,6700000,7500000
Deduções da Receita,-500000,-580000,-670000,-750000
Receita Líquida,4500000,5220000,6030000,6750000
CMV,-2475000,-2871000,-3135600,-3442500
Lucro Bruto,2025000,2349000,2894400,3307500
Despesas SG&A,-675000,-783000,-844200,-945000
Depreciação e Amortização,-135000,-156600,-180900,-202500
Outras Operacionais,50000,30000,40000,25000
EBIT,1265000,1439400,1909300,2185000
Resultado Financeiro,-120000,-150000,-180000,-200000
IR/CSLL,-389700,-438402,-588363,-674900
Lucro Líquido,755300,851000,1140937,1310100
